House,Day,Occupant-1 Activity ID,Occupant-1 Zone ID,Start Time,Duration
B,1,11,1,0,301
B,1,15,4,301,1
B,1,11,1,303,19
B,1,1,0,323,0
B,1,11,1,324,323
B,1,1,0,648,4
B,1,15,4,653,3
B,1,3,3,657,33
B,1,1,0,691,19
B,1,15,4,711,1
B,1,13,2,713,126
B,1,15,4,840,0
B,1,13,2,841,76
B,1,5,3,918,91
B,1,1,0,1010,6
B,1,9,3,1017,12
B,1,13,2,1030,105
B,1,15,4,1136,0
B,1,13,2,1137,28
B,1,10,3,1166,0
B,1,13,2,1167,40
B,1,15,4,1208,0
B,1,13,2,1209,140
B,1,10,3,1350,3
B,1,12,2,1354,147
B,2,1,0,62,0
B,2,15,4,63,0
B,2,11,1,64,476
B,2,15,4,541,1
B,2,1,0,543,25
B,2,14,4,569,8
B,2,27,1,578,7
B,2,1,0,586,11
B,2,3,3,598,18
B,2,1,0,617,7
B,2,15,4,625,2
B,2,1,0,628,602
B,2,15,4,1231,0
B,2,27,1,1232,1
B,2,1,0,1234,13
B,2,13,2,1248,117
B,2,11,1,1366,559
B,3,15,4,486,1
B,3,3,3,488,26
B,3,1,0,515,7
B,3,15,4,523,1
B,3,27,1,525,2
B,3,1,0,528,1
B,3,21,4,530,1
B,3,1,0,532,887
B,3,15,4,1420,1
B,3,27,1,1422,1
B,3,1,0,1424,4
B,3,13,2,1429,36
B,4,10,3,26,2
B,4,13,2,29,54
B,4,11,1,84,440
B,4,15,4,525,2
B,4,27,1,528,3
B,4,3,3,532,12
B,4,1,0,545,6
B,4,25,2,552,19
B,4,21,4,572,0
B,4,1,0,573,4
B,4,9,3,578,0
B,4,1,0,579,1
B,4,15,4,581,2
B,4,1,0,584,720
B,4,27,1,1305,3
B,4,1,0,1309,3
B,4,25,2,1313,7
B,4,7,3,1321,4
B,4,12,2,1326,88
B,4,15,4,1415,1
B,4,11,1,1417,537
B,5,15,4,515,11
B,5,27,1,527,4
B,5,1,0,532,803
B,5,15,4,1336,1
B,5,27,1,1338,1
B,5,1,0,1340,1
B,5,25,2,1342,133
B,6,11,1,36,455
B,6,15,4,492,1
B,6,3,3,494,13
B,6,18,2,508,7
B,6,9,3,516,1
B,6,27,1,518,2
B,6,15,4,521,3
B,6,1,0,525,947
B,7,15,4,33,1
B,7,27,1,35,1
B,7,1,0,37,3
B,7,12,2,41,5
B,7,7,3,47,1
B,7,12,2,49,47
B,7,11,1,97,482
B,7,15,4,580,1
B,7,1,0,582,14
B,7,13,2,597,46
B,7,3,3,644,26
B,7,12,2,671,49
B,7,1,0,721,0
B,7,14,4,722,8
B,7,27,1,731,3
