House,Day,Occupant-1 Activity ID,Occupant-1 Zone ID,Start Time,Duration
A,1,12,2,0,57
A,1,21,4,57,7
A,1,17,1,65,480
A,1,1,0,546,5
A,1,12,2,552,24
A,1,3,3,577,43
A,1,15,4,621,1
A,1,17,1,623,39
A,1,21,4,663,3
A,1,13,2,667,119
A,1,1,0,787,7
A,1,19,3,795,10
A,1,17,1,806,5
A,1,15,4,812,11
A,1,27,1,824,8
A,1,2,0,833,398
A,1,7,3,1232,39
A,1,22,2,1272,4
A,1,7,3,1277,50
A,1,17,1,1328,57
A,1,22,2,1386,46
A,1,21,4,1433,3
A,1,12,2,1437,2
A,2,17,1,0,0
A,2,10,3,1,5
A,2,17,1,7,12
A,2,10,3,20,3
A,2,12,2,24,128
A,2,21,4,153,2
A,2,1,0,156,4
A,2,11,1,161,435
A,2,12,2,597,21
A,2,15,4,619,1
A,2,3,3,621,4
A,2,17,1,626,17
A,2,3,3,644,36
A,2,13,2,681,45
A,2,21,4,727,20
A,2,22,2,748,2
A,2,14,4,751,11
A,2,1,0,763,15
A,2,13,2,779,16
A,2,1,0,796,47
A,2,12,2,844,10
A,2,5,3,855,62
A,2,17,1,918,61
A,2,15,4,980,24
A,2,17,1,1005,28
A,2,2,0,1034,260
A,2,27,1,1295,2
A,2,12,2,1298,18
A,2,17,1,1317,29
A,2,22,2,1347,22
A,2,15,4,1370,3
A,2,17,1,1374,65
A,3,10,3,0,18
A,3,12,2,19,71
A,3,17,1,91,34
A,3,21,4,126,8
A,3,11,1,135,454
A,3,1,0,590,5
A,3,15,4,596,2
A,3,1,0,599,3
A,3,12,2,603,34
A,3,3,3,638,85
A,3,12,2,724,8
A,3,17,1,733,0
A,3,22,2,734,11
A,3,17,1,746,59
A,3,21,4,806,4
A,3,12,2,811,82
A,3,17,1,894,43
A,3,10,3,938,8
A,3,15,4,947,49
A,3,1,0,997,24
A,3,5,3,1022,51
A,3,17,1,1074,1
A,3,22,2,1076,42
A,3,17,1,1119,57
A,3,18,2,1177,36
A,3,27,1,1214,8
A,3,2,0,1223,58
A,3,12,2,1282,7
A,3,27,1,1290,1
A,3,12,2,1292,43
A,3,10,3,1336,10
A,3,15,4,1347,3
A,3,13,2,1351,15
A,3,17,1,1367,7
A,3,22,2,1375,23
A,3,10,3,1399,7
A,3,12,2,1407,39
A,4,17,1,7,5
A,4,22,2,13,10
A,4,17,1,24,39
A,4,21,4,64,8
A,4,11,1,73,588
A,4,15,4,662,3
A,4,1,0,666,2
A,4,17,1,669,35
A,4,3,3,705,27
A,4,22,2,733,7
A,4,15,4,741,19
A,4,1,0,761,1
A,4,21,4,763,4
A,4,1,0,768,18
A,4,12,2,787,153
A,4,5,3,941,15
A,4,12,2,957,19
A,4,5,3,977,23
A,4,15,4,1001,1
A,4,13,2,1003,120
A,4,10,3,1124,3
A,4,12,2,1128,121
A,4,7,3,1250,34
A,4,12,2,1285,45
A,4,10,3,1331,0
A,4,15,4,1332,3
A,4,13,2,1336,15
A,4,17,1,1352,31
A,4,13,2,1384,136
A,5,17,1,81,23
A,5,21,4,105,3
A,5,11,1,109,447
A,5,25,2,557,18
A,5,15,4,576,2
A,5,4,3,579,21
A,5,1,0,601,3
A,5,17,1,605,31
A,5,22,2,637,10
A,5,17,1,648,35
A,5,21,4,684,3
A,5,13,2,688,161
A,5,10,3,850,7
A,5,12,2,858,13
A,5,5,3,872,53
A,5,17,1,926,63
A,5,15,4,990,59
A,5,1,0,1050,4
A,5,13,2,1055,82
A,5,27,1,1138,4
A,5,2,0,1143,88
A,5,27,1,1232,2
A,5,7,3,1235,44
A,5,15,4,1280,2
A,5,22,2,1283,18
A,5,17,1,1302,47
A,5,12,2,1350,59
A,5,1,0,1410,6
A,5,12,2,1417,22
